CompanyName,Address,Location,PostalCode,Website,Facebook,Instagram,PhoneNo,Email
1983 A Taste of Nanyang,E1 WOODLANDS AVENUE 9 02,REPUBLIC POLYTECHNIC (Food Court A),738964,,https://www.facebook.com/koufu.sg/,,65060161,
1983 A Taste of Nanyang,2 Ang Mo Kio Drive 02-10,ITE College Central,567720,,https://www.facebook.com/koufu.sg/,,85000926,
1983 Cafe Nanyang,60 AIRPORT BOULEVARD 026-018-9,CHANGI AIRPORT TERMINAL 2,819643,,https://www.facebook.com/koufu.sg/,,65432650,
1983 Coffee & Toast,1 Jurong East Street 21 01-01,"Tower C, Jurong Community Hospital",609606,,https://www.facebook.com/koufu.sg/,,,
1983 Coffee & Toast,2 SIMEI STREET 3 01-09/10,CHANGI GENERAL HOSPITAL,529889,,https://www.facebook.com/koufu.sg/,,6506 0161,
1983 Coffee & Toast,1 MARITIME SQUARE 02-21,"HARBOURFRONT CENTRE, TRANSIT AREA",540330,,https://www.facebook.com/koufu.sg/,,,
1983 Coffee & Toast,1 MARITIME SQUARE 02-21,"HARBOURFRONT CENTRE, TRANSIT AREA",127371,,https://www.facebook.com/koufu.sg/,,,
1983 Coffee & Toast,1 JOO KOON CIRCLE 02-32/33,FAIRPRICE HUB,629117,,https://www.facebook.com/koufu.sg/,,65060729,
21 On Rajah,1 JALAN RAJAH 01,DAYS HOTEL,329133,https://www.21onrajah.com/,https://www.facebook.com/21onRajah,https://www.instagram.com/21onrajah/?hl=en,68086847,21@dayshotelsingapore.com
4 Fingers Crispy Chicken,10 Tampines Central 1 #01-39/40/K3/K4,Tampines 1,529536,,https://www.facebook.com/pages/Four-Fingers-At-Tampines-1/715237331921371,,64812357,feedback@4fingers.com
4 Fingers Crispy Chicken,277 ORCHARD ROAD 01-04/05,,238858,,https://www.facebook.com/4FingersSG/,,63840471,feedback@4fingers.com
4 Fingers Crispy Chicken,302 Tiong Bahru Road 01-105,Tiong Bahru Plaza,168732,,https://www.facebook.com/4FingersSG/,,62648098,feedback@4fingers.com
4 Fingers Crispy Chicken,930 Yishun Avenue 2 01-15,Northpoint Shopping Centre,769098,,https://www.facebook.com/4FingersSG/,,64818194,feedback@4fingers.com
4 Fingers Crispy Chicken,50 Jurong Gateway Road 01-15A,JEM Shopping Mall,608549,,https://www.facebook.com/4FingersSG/,,63166604,feedback@4fingers.com
4 Fingers Crispy Chicken,1 WOODLANDS SQUARE 01-38/39,CAUSEWAY POINT,738099,,https://www.facebook.com/4FingersSG/,,67602084,feedback@4fingers.com
